adult,budget,popularity,release_date,revenue,runtime,video,vote_average,vote_count,12,14,16,18,27,28,35,36,37,53,80,99,878,9648,10402,10749,10751,10752,10770,US_production_countries,GB_production_countries,JP_production_countries,FR_production_countries,CA_production_countries,DE_production_countries,KR_production_countries,other_production_countries,en_spoken_languages,es_spoken_languages,ja_spoken_languages,fr_spoken_languages,it_spoken_languages,de_spoken_languages,ko_spoken_languages,zh_spoken_languages,ru_spoken_languages,cn_spoken_languages,other_spoken_languages,en_original_language,es_original_language,fr_original_language,ja_original_language,ko_original_language,other_original_language,status_In Production,status_Planned,status_Post Production,status_Released,status_Rumored,homepage_bool
False,35000000,612.183,2023.0,168541093,123,False,7.3,1282,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,20000000,506.057,2022.0,0,86,False,5.679,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,20000000,529.046,2015.0,0,99,False,5.004,351,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,0,573.59,2022.0,356840,106,False,6.9,53,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,0,0,0,0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,151000000,639.865,2023.0,205670000,134,False,7.473,1486,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,65000000,481.618,2023.0,24187819,93,False,6.921,518,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,469.742,2023.0,0,101,False,6.568,95,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,505.484,2023.0,0,103,False,6.718,39,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,494.32,2023.0,0,122,False,7.082,342,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,0,0,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,True
False,3000000,428.344,2022.0,55101305,116,False,8.037,2362,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,418.131,2023.0,0,91,False,6.58,1091,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,250000000,477.32,2022.0,859102154,162,False,7.253,4900,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,1,0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,438.714,2023.0,0,111,False,7.275,397,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,200000000,441.234,2022.0,393252111,124,False,7.095,4971,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,9000000,733.999,2022.0,0,122,False,6.544,136,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,0,0,1,0,0,0,1,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False
False,0,379.92,2023.0,0,87,False,6.4,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,45000000,378.259,2023.0,55000000,92,False,6.224,1129,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,12300000,351.45,2023.0,34200000,88,False,7.177,302,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,0,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False
False,12300000,351.45,2023.0,34200000,88,False,7.177,302,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,0,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False
False,0,382.394,2023.0,0,5,False,5.818,22,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,200000000,365.607,2019.0,760098996,137,False,6.865,6394,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,1,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,325.847,2023.0,0,95,False,6.508,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,32500000,364.546,2023.0,89020092,96,False,6.326,1109,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,352.559,2023.0,0,98,False,6.534,238,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False,1,1,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,40000000,378.441,1989.0,211343479,83,False,7.349,7033,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False,1,0,0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,357.812,2022.0,0,94,False,5.89,41,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,0,307.145,2021.0,0,110,False,8.008,992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,100000000,428.508,2023.0,0,140,False,6.375,12,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,1,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,12000000,307.445,2022.0,176830912,102,False,7.339,2664,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,100000,301.939,2023.0,5200000,84,False,5.741,612,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,200000000,422.172,2017.0,863756051,137,False,7.624,19803,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,534.085,2023.0,0,96,False,5.967,183,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,200000000,334.554,2023.0,0,117,False,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,283.836,2023.0,0,103,False,6.2,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False
False,0,279.117,2023.0,0,191,False,7.483,89,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,True
False,0,274.472,2023.0,0,83,False,7.839,59,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,0,264.153,2022.0,6000000,90,False,7.7,277,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,190000000,284.859,2015.0,1515341399,137,False,7.236,9757,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,1,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,292.627,2022.0,0,93,False,6.04,136,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,25000000,305.239,2023.0,51000000,107,False,6.889,1254,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,250000000,275.437,2017.0,1236005118,136,False,6.893,9503,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,1,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,17000000,290.68,2022.0,0,131,False,6.827,81,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,1,0,1,0,0,0,1,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,True
False,200000000,284.842,2021.0,1921847111,148,False,8.005,17432,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,262.752,2023.0,5000000,112,False,6.5,53,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,263.689,2022.0,4495365,101,False,6.4,834,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,3000000,270.235,2022.0,16120263,107,False,7.273,2894,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
False,0,249.107,2023.0,0,100,False,6.234,156,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1,0,0,0,0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False
False,0,245.381,2022.0,0,89,False,6.825,103,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,True,False,True
