budget,popularity,revenue,runtime,vote_average,vote_count,release_date,12,14,16,18,27,28,35,36,37,53,80,99,878,9648,10402,10749,10751,10752,10770,homepage_bool
0,307.145,0,110,8.008,992,2021.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
100000000,428.508,0,140,6.375,12,2023.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
12000000,307.445,176830912,102,7.339,2664,2022.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,True
100000,301.939,5200000,84,5.741,612,2023.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False
200000000,422.172,863756051,137,7.624,19803,2017.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,True
0,534.085,0,96,5.967,183,2023.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False
200000000,334.554,0,117,0.0,0,2023.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,283.836,0,103,6.2,117,2023.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,279.117,0,191,7.483,89,2023.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
0,274.472,0,83,7.839,59,2023.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,264.153,6000000,90,7.7,277,2022.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
190000000,284.859,1515341399,137,7.236,9757,2015.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,True
0,292.627,0,93,6.04,136,2022.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False
25000000,305.239,51000000,107,6.889,1254,2023.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,True
250000000,275.437,1236005118,136,6.893,9503,2017.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,True
17000000,290.68,0,131,6.827,81,2022.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,True
200000000,284.842,1921847111,148,8.005,17432,2021.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,262.752,5000000,112,6.5,53,2023.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,263.689,4495365,101,6.4,834,2022.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,True
3000000,270.235,16120263,107,7.273,2894,2022.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True
0,249.107,0,100,6.234,156,2023.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,245.381,0,89,6.825,103,2022.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,True
200000000,321.465,726229501,143,7.2,6354,2021.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True
20000000,259.536,54708659,100,6.397,1487,2023.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True
0,234.406,0,105,7.65,50,2023.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,False
110000000,242.225,402656846,122,7.592,3955,2022.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,True
0,246.982,0,97,6.4,25,2023.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,False
0,255.649,11426555,108,7.678,213,2022.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
170000000,221.473,1488732821,131,8.29,6895,2022.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
165000000,235.295,1001978080,147,6.843,4858,2022.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
72000000,237.727,0,112,4.818,406,2023.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
17000000,234.477,3901839,93,6.951,82,2022.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
0,208.822,0,85,6.091,11,2022.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
35000000,229.763,83061158,90,7.328,435,2014.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,True
0,214.222,0,111,6.363,161,2023.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False
250000000,252.617,760928081,119,6.571,6013,2022.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,True
0,201.72,0,45,7.136,136,2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,231.672,0,107,6.256,131,2022.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
40000000,233.019,171539887,122,7.318,11569,2017.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,True
0,217.765,0,105,7.876,133,2019.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
55000000,219.066,326709727,131,7.448,9267,2019.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,True
90000000,232.284,87078875,112,7.4,824,2023.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True
0,210.989,37655699,93,7.087,669,2022.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True
90000000,260.547,375464627,117,8.406,12792,2018.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
250000,223.453,12400000,138,6.901,1206,2022.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
0,187.41,0,92,5.923,91,2023.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,True
25000000,202.113,13276499,117,6.8,573,2022.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
0,279.928,0,112,5.778,45,2023.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False
0,200.489,0,75,6.287,47,2022.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,204.064,0,86,6.604,91,2023.0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,False
1000000,195.837,0,120,7.541,381,2022.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,False
237000000,198.952,2923706026,162,7.569,29132,2009.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,180.81,0,101,5.831,83,2022.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,218.307,2614006,98,5.0,797,2018.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,True
0,173.662,0,91,7.791,289,2022.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,False
15800000,194.561,503063688,117,8.26,3163,2020.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,True
220000000,230.137,0,144,0.0,0,2023.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,178.889,0,105,7.892,1289,2022.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
0,319.848,0,88,7.3,10,2023.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True
200000000,194.262,952224986,126,7.375,7475,2022.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
50000000,186.229,253000000,102,7.639,8232,2021.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,True
0,171.873,0,76,6.333,12,2023.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,True
10000,183.67,0,88,5.317,126,2022.0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,True
185000000,187.476,770945583,177,7.709,7997,2022.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,True
65000000,176.775,0,100,7.787,5500,2022.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,True
0,175.449,0,99,7.173,124,2023.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
0,169.865,0,80,5.909,44,2023.0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,False
0,179.485,0,104,6.726,1396,2022.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,True
0,165.566,0,96,6.575,87,2023.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,True
0,216.228,0,113,6.6,64,2023.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,False
0,142.813,0,85,5.977,22,2023.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
300000000,192.31,2052415039,149,8.261,26942,2018.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,167.303,0,45,7.254,1418,2022.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,True
