budget,popularity,revenue,runtime,vote_average
130178,127.059,0,0,0.0
14000000,118.738,463406268,119,7.446
0,121.724,56000000,93,6.791
0,125.264,0,90,7.1
17500000,126.246,23438120,156,5.991
60000000,143.012,487853320,90,7.724
0,119.249,0,70,4.9
90000000,115.124,20000000,139,7.248
90000000,125.879,239268602,126,7.493
0,107.997,0,90,6.551
0,111.879,0,93,5.8
0,122.496,0,90,6.777
0,111.461,0,90,6.277
0,126.256,0,97,6.528
180000000,119.956,73621640,102,6.49
0,134.446,12467270,95,6.827
0,145.505,0,88,10.0
0,112.652,0,82,5.313
0,110.192,0,126,6.187
0,119.536,0,97,6.0
100000000,135.573,876688482,161,7.723
200000000,121.283,470116094,114,7.684
0,104.43,1228459,111,5.929
0,125.45,0,95,5.79
0,183.138,0,80,4.571
0,195.279,0,94,5.848
200000000,106.767,233503234,134,8.075
0,110.035,0,98,7.45
0,103.423,0,90,6.375
40000000,141.702,175302354,139,8.191
146000000,155.011,67295363,130,6.383
0,117.5,0,106,6.7
0,112.734,0,146,7.133
0,117.905,0,88,7.86
165000000,114.431,701729206,169,8.402
200000000,124.097,406950844,142,6.75
90000000,112.58,203000000,105,7.4
0,112.467,0,111,5.818
0,108.624,0,96,7.662
40000000,117.786,571006128,125,5.885
0,94.926,0,74,7.345
0,95.514,0,77,6.808
74000000,119.434,192907684,112,6.632
150000000,123.618,895921036,157,7.817
0,114.452,0,90,7.007
0,96.583,0,93,5.764
30000000,113.244,0,107,7.383
1000000,106.13,0,85,5.238
0,93.488,0,74,6.106
0,104.214,0,93,5.7
0,103.908,0,143,6.271
150000000,102.866,623726000,111,7.8
0,95.074,86562140,99,7.931
55000000,109.699,368307760,105,6.703
1500000,103.176,0,98,7.179
0,180.681,0,90,8.158
0,100.216,0,63,7.306
0,100.439,0,107,6.638
250000000,125.193,933959197,153,7.698
0,110.396,0,117,6.622
150000000,111.17,938212738,138,7.688
120000000,125.133,401748820,116,7.026
130000000,115.629,789804554,141,8.021
217000000,114.339,605425157,154,6.056
0,96.776,9572765,99,6.762
220000000,116.588,1518815515,143,7.707
0,104.629,0,123,0.0
115000000,109.339,579707738,92,7.831
250000000,118.773,954305868,146,7.8
0,103.389,0,97,6.6
0,104.8,0,84,7.205
0,110.729,0,105,6.936
0,107.541,0,103,6.3
0,92.413,0,48,7.5
17000000,94.193,161440742,103,7.748
6000000,121.225,245066411,175,8.711
20000000,108.891,84426031,110,7.094
0,102.266,0,105,5.884
39000000,104.903,206431050,111,7.525
0,94.559,195189,89,6.399
70000000,122.983,0,242,8.208
150000000,94.512,928760770,93,7.236
100000000,90.927,0,102,6.813
2400000,91.487,380512,99,6.707
356000000,97.536,2794731755,181,8.265
0,92.871,0,100,1.7
260000000,104.687,592461732,100,7.59
0,98.09,0,82,6.695
0,90.029,0,76,7.348
125000000,111.813,1341511219,130,8.11
30000000,95.916,373554033,81,7.968
200000000,96.559,226425420,105,7.103
0,90.588,0,94,5.5
59000000,104.262,383257136,81,7.343
0,90.486,0,89,7.63
0,110.539,0,92,5.458
85645,92.752,0,101,6.4
0,111.576,0,69,1.5
25000000,129.183,28341469,142,8.702
0,69.795,0,96,5.5
45000000,103.763,763455561,89,8.259
82000000,103.907,146745280,107,7.458
175000000,94.07,800526015,105,8.226
200000000,103.377,2264162353,194,7.9
0,150.244,0,106,0.0
165000000,96.209,657827828,102,7.74
0,81.94,0,104,6.162
40000000,102.721,13280000,140,7.073
69000000,95.7,160000000,186,7.84
185000000,98.805,168717425,132,7.577
0,89.343,0,75,6.918
0,116.402,0,88,6.179
200000000,93.991,49750471,95,7.881
0,65.415,0,70,5.1
50000000,105.118,37846713,114,6.612
100000000,134.289,392000000,180,8.036
0,84.14,0,85,5.974
165000000,102.014,402027830,155,7.801
200000000,94.167,402064899,156,6.965
10000000,91.567,14779858,106,6.783
75000000,96.175,167500000,105,6.166
0,94.372,357986087,106,8.522
0,87.328,195870885,105,8.19
0,103.729,0,88,3.5
0,148.994,0,80,4.0
0,93.518,0,76,6.985
200000000,93.599,0,102,0.0
13000000,93.196,320406242,112,7.539
0,146.822,0,90,6.2
1704500,78.04,0,100,6.8
64000000,81.99,107347356,97,7.245
0,87.693,0,101,5.646
20000000,78.948,77263354,102,7.368
31000000,103.258,90753806,115,6.625
379000000,95.336,1045713802,137,6.533
70000000,83.905,69633110,137,7.1
0,73.671,0,83,6.346
0,70.621,0,80,5.478
78000000,100.65,56351455,189,7.494
5000000,90.507,61768190,93,6.811
190000000,89.994,156497322,147,6.523
260000000,82.908,1663075401,118,7.128
0,78.247,0,93,6.462
200000000,94.906,708962323,141,6.488
14000000,92.849,69497587,106,7.147
200000000,98.059,379751131,134,7.335
0,88.091,0,104,5.0
34000000,101.167,348319861,113,7.173
41900000,100.703,0,99,6.0
0,86.634,0,105,6.7
0,93.758,0,140,7.721
26000000,111.155,43318349,105,7.311
25000000,85.734,139200000,140,7.841
175000000,96.98,880166924,133,7.348
200000000,81.448,14400000,138,7.542
140000000,87.282,655011224,143,7.786
0,80.796,0,93,6.664
58000000,96.988,783100000,108,7.603
25000000,81.736,235956898,127,8.057
0,63.705,0,102,5.5
80000000,95.017,366080049,132,7.041
0,80.058,0,54,7.863
0,80.029,0,105,5.311
0,66.113,0,110,6.692
0,74.764,0,93,5.923
0,81.592,0,95,7.048
0,84.275,10000000,94,7.223
0,62.494,0,90,6.8
45000000,86.693,52000000,112,7.008
10000000,69.38,33628000,105,6.314
0,67.351,0,0,7.0
2000000,83.614,2157673,97,6.829
215000000,95.0,757930663,136,6.685
80000000,82.586,250162278,100,7.669
0,96.801,0,100,4.7
185000000,84.3,1004558444,152,8.509
55000000,135.191,192330738,132,7.238
20000000,111.519,207945075,110,7.916
0,80.63,0,105,6.213
8500000,67.184,130493,89,4.976
90000000,88.991,304320254,88,7.917
0,73.306,0,0,0.0
0,68.039,22456368,124,6.95
0,67.312,0,0,6.286
110000000,83.486,331526598,115,7.562
139000000,96.378,821708551,121,7.269
90,68.788,0,90,6.323
40000000,93.947,103966489,119,7.676
250000000,81.28,956019788,144,7.312
109000000,66.615,111202881,100,7.567
200000000,88.091,623933331,124,6.833
0,76.457,0,62,8.205
0,70.986,0,106,5.506
0,81.605,0,96,6.821
0,83.595,0,76,6.55
19000000,79.544,278019771,88,6.327
14000000,87.368,21500000,99,7.122
37000000,84.916,173567581,133,7.406
11000000,86.909,775398007,121,8.207
40000000,85.374,38600612,107,6.1
0,65.839,0,70,4.857
0,71.605,0,102,6.226
0,71.633,0,119,7.494
50000000,85.113,214215889,130,7.001
150000000,76.162,1450026933,103,7.276
0,77.714,21658982,70,7.3
0,68.351,0,96,6.24
0,65.452,0,102,6.095
0,70.447,0,75,5.981
0,86.395,3000000,119,6.667
79000000,78.006,473122525,169,6.862
125000000,82.868,755356711,123,6.802
365000000,87.369,1405403694,141,7.279
18052672,81.873,19200000,140,7.714
0,78.896,0,60,6.0
100000000,84.115,125928656,131,6.8
61000000,73.574,297400000,97,7.521
9000000,91.566,10000000,104,6.382
0,76.279,0,93,7.099
93000000,76.827,871368364,179,8.398
100000000,80.439,130423032,107,7.9
0,85.32,16914773,138,7.415
37000000,79.547,113086475,109,6.9
0,81.2,0,104,6.719
95000000,85.376,543514353,105,6.801
26000000,75.84,144327371,86,7.449
0,66.089,0,85,6.8
0,60.82,0,96,5.879
0,81.24,12421716,100,7.802
150000000,75.39,136384442,101,8.156
15000000,72.412,173046663,112,7.393
20000,63.685,0,76,6.446
0,74.765,0,116,6.313
110000000,76.109,299268508,127,6.967
0,73.099,0,100,7.654
0,74.444,0,102,8.014
0,74.486,0,132,6.2
90000000,75.904,497366869,92,7.586
0,75.354,0,113,7.674
0,77.405,0,140,6.7
200000000,66.993,626203271,149,6.8
160000000,83.517,1131927996,129,7.457
0,119.343,0,80,4.7
0,66.017,0,86,4.771
0,65.749,0,79,3.75
300000000,87.501,961000000,169,7.238
0,77.704,0,35,7.7
65000000,81.411,215905815,95,7.516
0,76.939,100730000,101,7.295
200000000,81.57,1065659812,151,7.34
0,62.795,0,101,5.32
68000000,86.572,211817906,135,7.514
30000000,87.669,11300000,114,6.9
0,84.703,0,89,4.727
0,71.207,0,98,6.48
0,80.196,0,87,5.905
55000000,84.342,1074458282,122,8.17
85000000,74.472,319715683,99,7.353
0,66.386,0,90,6.5
0,72.906,0,141,6.981
150000000,76.791,474968763,115,7.038
37000000,78.132,393616788,122,6.293
10000000,66.368,53785551,98,7.187
0,75.632,0,95,6.549
0,69.24,0,127,6.637
80000000,75.63,247022278,101,6.108
0,64.837,0,90,5.745
160000000,82.845,825532764,148,8.362
0,79.061,0,100,5.7
60000000,72.452,4700000,95,7.535
0,74.021,24000000,51,7.215
161900000,69.793,162892228,115,6.874
0,119.15,0,87,6.1
